"siteA";"siteB";"neardist";"metric";"value";"interaction"
"Westgate Park";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Women's Peace Gardens";"Womens Peace Gardens";NA;"species_turnover";1;"herbivory"
"Women's Peace Gardens";"Womens Peace Gardens";NA;"interaction_turnover";1;"herbivory"
"Argyle Square";"Canning/Neil Street Reserve";1168,04;"species_turnover";1;"pollination"
"Argyle Square";"Canning/Neil Street Reserve";1168,04;"interaction_turnover";1;"pollination"
"Argyle Square";"Canning/Neill St Reserve";NA;"species_turnover";0,485714285714286;"pollination"
"Argyle Square";"Canning/Neill St Reserve";NA;"interaction_turnover";1;"pollination"
"Argyle Square";"Carlton Gardens South";325,15;"species_turnover";0,583333333333333;"pollination"
"Argyle Square";"Carlton Gardens South";325,15;"interaction_turnover";0,774436090225564;"pollination"
"Argyle Square";"Fitzroy-Treasury Gardens";1298,21;"species_turnover";0,647058823529412;"pollination"
"Argyle Square";"Fitzroy-Treasury Gardens";1298,21;"interaction_turnover";0,822485207100592;"pollination"
"Argyle Square";"Gardiner Reserve";1908,29;"species_turnover";0,459459459459459;"pollination"
"Argyle Square";"Gardiner Reserve";1908,29;"interaction_turnover";0,877551020408163;"pollination"
"Argyle Square";"Garrard Street Reserve";3243,14;"species_turnover";0,435897435897436;"pollination"
"Argyle Square";"Garrard Street Reserve";3243,14;"interaction_turnover";0,781818181818182;"pollination"
"Argyle Square";"Lincoln Square";161,29;"species_turnover";0,416666666666667;"pollination"
"Argyle Square";"Lincoln Square";161,29;"interaction_turnover";0,67420814479638;"pollination"
"Argyle Square";"Murchinson Square";574,12;"species_turnover";0,435897435897436;"pollination"
"Argyle Square";"Murchinson Square";574,12;"interaction_turnover";0,756756756756757;"pollination"
"Argyle Square";"Pleasance Gardens";1779,08;"species_turnover";0,5;"pollination"
"Argyle Square";"Pleasance Gardens";1779,08;"interaction_turnover";0,886075949367089;"pollination"
"Argyle Square";"Princes Park";1214,02;"species_turnover";0,490196078431373;"pollination"
"Argyle Square";"Princes Park";1214,02;"interaction_turnover";0,775;"pollination"
"Argyle Square";"Royal Park";1257,93;"species_turnover";0,777777777777778;"pollination"
"Argyle Square";"Royal Park";1257,93;"interaction_turnover";0,923943661971831;"pollination"
"Argyle Square";"State Library of Victoria";704,24;"species_turnover";0,51219512195122;"pollination"
"Argyle Square";"State Library of Victoria";704,24;"interaction_turnover";0,891566265060241;"pollination"
"Argyle Square";"University Square";417,22;"species_turnover";0,428571428571429;"pollination"
