"site";"interaction_type";"metric";"value"
"University Square";"Herbivore";"degree_heterogeneity";2,42718919365736
"University Square";"Herbivore";"modularity_eigen";0,368512110726644
"University Square";"Herbivore";"modularity_betweenness";0,211072664359862
"University Square";"Herbivore";"nestedness";33,695652173913
"University Square";"Herbivore";"centrality_degree";0,181122448979592
"University Square";"Herbivore";"centrality_betweenness";0,425431711145997
"University Square";"Herbivore";"centrality_eigen";0,655163866862687
"University Square";"Herbivore";"interaction_overlap";0,561149961149961
"Westgate Park";"Pollinator";"richness";12
"Westgate Park";"Pollinator";"connectance";0,194444444444444
"Westgate Park";"Pollinator";"link_density";1,16666666666667
"Westgate Park";"Pollinator";"degree_heterogeneity";2,4410152780267
"Westgate Park";"Pollinator";"modularity_eigen";0,73469387755102
"Westgate Park";"Pollinator";"modularity_betweenness";0,73469387755102
"Westgate Park";"Pollinator";"nestedness";6,66666666666667
"Westgate Park";"Pollinator";"centrality_degree";0,0413223140495868
"Westgate Park";"Pollinator";"centrality_betweenness";0,0330578512396694
"Westgate Park";"Pollinator";"centrality_eigen";0,876393202250021
"Westgate Park";"Pollinator";"interaction_overlap";0,203703703703704
"Westgate Park";"Herbivore";"richness";101
"Westgate Park";"Herbivore";"connectance";0,0741341991341991
"Westgate Park";"Herbivore";"link_density";2,71287128712871
"Westgate Park";"Herbivore";"degree_heterogeneity";4,13641488617355
"Westgate Park";"Herbivore";"modularity_eigen";0,542330438488998
"Westgate Park";"Herbivore";"modularity_betweenness";0,183067824604401
"Westgate Park";"Herbivore";"nestedness";9,07418402265373
"Westgate Park";"Herbivore";"centrality_degree";0,0873
"Westgate Park";"Herbivore";"centrality_betweenness";0,552983572116509
"Westgate Park";"Herbivore";"centrality_eigen";0,879926711440312
"Westgate Park";"Herbivore";"interaction_overlap";0,214845681862207
"Women's Peace Gardens";"Pollinator";"richness";8
"Women's Peace Gardens";"Pollinator";"connectance";0,333333333333333
"Women's Peace Gardens";"Pollinator";"link_density";1,25
"Women's Peace Gardens";"Pollinator";"degree_heterogeneity";1,97300140639361
"Women's Peace Gardens";"Pollinator";"modularity_eigen";0,56
"Women's Peace Gardens";"Pollinator";"modularity_betweenness";0,56
"Women's Peace Gardens";"Pollinator";"nestedness";0
"Women's Peace Gardens";"Pollinator";"centrality_degree";0,142857142857143
"Women's Peace Gardens";"Pollinator";"centrality_betweenness";0,142857142857143
"Women's Peace Gardens";"Pollinator";"centrality_eigen";0,877991532071854
"Women's Peace Gardens";"Pollinator";"interaction_overlap";0,44
"Women's Peace Gardens";"Herbivore";"richness";32
"Women's Peace Gardens";"Herbivore";"connectance";0,236363636363636
"Women's Peace Gardens";"Herbivore";"link_density";3,25
"Women's Peace Gardens";"Herbivore";"degree_heterogeneity";3,17033670508803
"Women's Peace Gardens";"Herbivore";"modularity_eigen";0,386649408284024
"Women's Peace Gardens";"Herbivore";"modularity_betweenness";0,177144970414201
"Women's Peace Gardens";"Herbivore";"nestedness";29,2451690821256
"Women's Peace Gardens";"Herbivore";"centrality_degree";0,129032258064516
"Women's Peace Gardens";"Herbivore";"centrality_betweenness";0,343918409457982
"Women's Peace Gardens";"Herbivore";"centrality_eigen";0,678900633493373
"Women's Peace Gardens";"Herbivore";"interaction_overlap";0,430756632256632
